# File for database AERA_3_A
#
station	WGS 84 latitude	WGS 84 longitude	UTM south (m)	UTM east (m)	altitude (m)
#
AERA_136	-35.107566310	-69.525333974	6114901.908	452124.994	1553.580	19H
AERA_137	-35.107458662	-69.521225200	6114915.813	452499.378	1549.912	19H
AERA_138	-35.128091926	-69.524890732	6112625.831	452177.385	1542.933	19H
AERA_139	-35.133840792	-69.553721934	6111974.052	449554.103	1558.799	19H
AERA_140	-35.133900442	-69.545526003	6111971.559	450300.823	1553.911	19H
AERA_141	-35.133853673	-69.537232195	6111980.855	451056.395	1548.324	19H
AERA_142	-35.110366211	-69.560310007	6114574.031	448939.253	1581.410	19H
AERA_143	-35.110361275	-69.556279334	6114576.637	449306.567	1577.745	19H
AERA_144	-35.110472322	-69.527387734	6114578.643	451939.534	1554.578	19H
AERA_145	-35.110479289	-69.523297650	6114579.836	452312.268	1550.727	19H
AERA_146	-35.110555588	-69.519148200	6114573.353	452690.452	1546.644	19H
AERA_147	-35.133917581	-69.529049851	6111977.759	451801.878	1542.167	19H
AERA_148	-35.139688477	-69.550028036	6111327.407	449894.216	1551.715	19H
AERA_149	-35.139817601	-69.541750826	6111317.222	450648.328	1546.855	19H
AERA_150	-35.139766506	-69.533524272	6111326.936	451397.717	1541.061	19H
AERA_151	-35.113425904	-69.525342599	6114252.076	452127.635	1550.819	19H
AERA_152	-35.113365414	-69.521198989	6114260.768	452505.194	1547.361	19H
AERA_157	-35.116321524	-69.519229625	6113933.873	452686.365	1544.901	19H
BEACON	-35.114365909	-69.599922933	6114109.440	445331.977	1719.803	19H
CRS-ADS-B	-35.108396894	-69.533338010	6114805.920	451396.053	1560.260	19H
CRS-REF-ROOF	-35.108420311	-69.533283297	6114803.350	451401.053	1558.682	19H
WEATHERSTATION	-35.109200130	-69.549080773	6114709.047	449961.866	1569.917	19H
KIT-Test01	49.093046111	8.431036389	5437955.234	458462.236	185.780	32U
KIT-Test02	49.093046111	8.431036389	5437955.234	458462.236	185.780	32U
KIT-Test03	49.093046111	8.431036389	5437955.234	458462.236	185.780	32U
KIT-Test04	49.093046111	8.431036389	5437955.234	458462.236	185.780	32U
KIT-Test05	49.093046111	8.431036389	5437955.234	458462.236	185.780	32U
KIT-Test06	49.093046111	8.431036389	5437955.234	458462.236	185.780	32U
