#gottowik@astro9:/common/scrd/gottowik/offline/trunk/Framework/SDetector$ grep -B7 "    <inGrid> 1 </inGrid>" SStationList.xml.in | grep -E 'northing|easting|id=' > ~/blabla.txt

 365 6081435.53  456605.98 
 366 6080155.82  455873.6 
 367 6076237.71  458103.01 
 368 6076258.09  455116.13 
 369 6081458.58  458123.92 
 370 6077554.66  455878.34 
 371 6077548.54  454372.15 
 372 6084075.49  455139.46 
 373 6082737.86  452874.31 
 374 6078855.6  458125.41 
 375 6077556.37  460375.23 
 376 6077557.78  458875.22 
 377 6084056.82  453619.19 
 378 6073656.29  458124.06 
 379 6073656.52  456623.43 
 380 6095749.34  481374.82 
 381 6095751.24  479864.75 
 382 6097031.27  480626.44 
 383 6073650.9  464129.22 
 384 6073654.34  461127.61 
 385 6073652.0  462624.94 
 386 6072355.43  464874.06 
 387 6072358.04  463374.22 
 388 6081454.63  452122.74 
 389 6081499.88  453617.63 
 390 6078856.39  459623.51 
 391 6078857.32  456623.39 
 392 6097033.18  479120.23 
 393 6082780.0  454373.24 
 394 6078855.31  461126.92 
 395 6080157.14  454335.44 
 396 6081466.61  461122.27 
 397 6084057.52  458115.18 
 398 6080156.01  452877.68 
 399 6078854.88  455125.94 
 400 6084054.92  459628.95 
 401 6078853.96  453626.95 
 402 6077555.3  457375.25 
 403 6080219.39  463337.44 
 404 6084051.42  456638.35 
 405 6080166.67  461876.6 
 406 6085442.09  454406.44 
 407 6086654.17  455130.73 
 408 6078840.46  462616.54 
 409 6086666.87  453626.9 
 410 6081458.4  462624.75 
 411 6094447.15  480626.37 
 412 6080175.7  460369.92 
 413 6093145.72  479877.76 
 414 6082776.19  460364.88 
 415 6082747.9  458899.85 
 416 6081461.01  459638.26 
 417 6085351.82  457378.16 
 418 6093147.11  481376.28 
 419 6076257.09  464125.4 
 420 6094443.62  482127.28 
 421 6087950.36  454376.22 
 422 6076256.82  462625.99 
 423 6087952.26  455875.24 
 424 6086651.3  456628.78 
 425 6077556.97  461876.15 
 426 6087950.14  452876.82 
 427 6074952.04  460374.64 
 428 6071066.01  473128.88 
 429 6076254.07  459625.09 
 430 6071066.67  471629.28 
 431 6074956.4  463376.78 
 432 6076256.59  461126.08 
 433 6074954.86  461874.56 
 434 6074955.06  464874.73 
 435 6085346.64  460377.49 
 436 6084046.06  462629.27 
